Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description,Condition
Jeep,Grand-Cherokee,2014,62477,114845,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2014 Jeep Grand-Cherokee With Leather Seats, Bluetooth", No Damage
Ford,Edge,2021,31370,29713,SUV,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2021 Ford Edge With Bluetooth, Leather Seats, Navigation System", Engine Repaired
Kia,Telluride,2020,115243,214766,SUV,6,Automatic Transmission,Gasoline,Other Color, Ajman,"2020 Kia Telluride With Navigation System, Bluetooth, Sunroof, Rear Camera", Dented Door
Maybach,S500,2024,1346443,112627,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 Maybach S500 With Bluetooth, Sunroof", Accident History
Nissan,Patrol,2008,95692,260278,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2008 Nissan Patrol With Adaptive Cruise Control, Leather Seats, Rear Camera, Navigation System", Engine Repaired
Bmw,X1,2015,152925,80936,SUV,4,Automatic Transmission,Gasoline,Brown, Dubai,"2015 Bmw X1 With Sunroof, Bluetooth, Rear Camera, Navigation System", Repainted Bumper
Toyota,Land-Cruiser,2009,246055,151534,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 Toyota Land-Cruiser With Bluetooth, Sunroof, Rear Camera", No Damage
Honda,Civic,2009,30718,201143,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2009 Honda Civic With Rear Camera, Bluetooth, Navigation System, Sunroof", Minor Scratches
Kia,Optima,2005,36709,262262,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2005 Kia Optima With Adaptive Cruise Control, Sunroof", Repainted Bumper
Audi,S3Rs3,2012,80110,66944,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2012 Audi S3Rs3 With Navigation System, Adaptive Cruise Control", Minor Scratches
Nissan,Patrol,2005,93069,42970,SUV,8,Automatic Transmission,Gasoline,White, Fujeirah,"2005 Nissan Patrol With Leather Seats, Adaptive Cruise Control, Sunroof, Navigation System", Accident History
Toyota,Highlander,2006,145769,111411,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2006 Toyota Highlander With Rear Camera, Leather Seats", No Damage
Mercedes-Benz,C-Class,2010,25311,95741,Sedan,6,Automatic Transmission,Gasoline,Grey,Dubai,"2010 Mercedes-Benz C-Class With Sunroof, Navigation System, Bluetooth, Rear Camera", Minor Scratches
Bmw,1-Series,2022,33690,280758,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai,"2022 Bmw 1-Series With Sunroof, Adaptive Cruise Control, Bluetooth, Rear Camera", Engine Repaired
Nissan,Patrol,2012,143804,152967,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2012 Nissan Patrol With Navigation System, Adaptive Cruise Control, Leather Seats, Sunroof", Dented Door
Nissan,Armada,2015,29346,252077,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2015 Nissan Armada With Navigation System, Sunroof", Dented Door
Renault,Duster,2018,33172,265629,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2018 Renault Duster With Rear Camera, Sunroof", No Damage
Hyundai,Sonata,2019,26281,294110,Sedan,4,Automatic Transmission,Gasoline,Silver, Sharjah,"2019 Hyundai Sonata With Rear Camera, Adaptive Cruise Control, Navigation System", Accident History
Nissan,Sunny,2011,17117,288066,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2011 Nissan Sunny With Navigation System, Bluetooth, Sunroof", Engine Repaired
Mercedes-Benz,S-Class,2011,25949,22605,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2011 Mercedes-Benz S-Class With Rear Camera, Adaptive Cruise Control, Sunroof", Accident History
Bmw,7-Series,2019,66011,203931,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai,"2019 Bmw 7-Series With Adaptive Cruise Control, Bluetooth, Navigation System, Leather Seats", Accident History
Mercedes-Benz,C-Class,2010,110127,265904,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2010 Mercedes-Benz C-Class With Navigation System, Adaptive Cruise Control", Minor Scratches
Volkswagen,Golfr,2010,97185,261085,Hatchback,4,Automatic Transmission,Gasoline,White, Sharjah,"2010 Volkswagen Golfr With Bluetooth, Navigation System", Repainted Bumper
Toyota,Rav-4,2024,120834,11683,SUV,4,Automatic Transmission,Gasoline,Black, Dubai,"2024 Toyota Rav-4 With Rear Camera, Adaptive Cruise Control", No Damage
Lexus,Ls-Series,2024,31080,203268,Sedan,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2024 Lexus Ls-Series With Bluetooth, Sunroof", Engine Repaired
Ford,Focus,2007,40785,227040,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2007 Ford Focus With Rear Camera, Navigation System, Sunroof, Leather Seats", Minor Scratches
Porsche,Cayman,2019,278195,53788,Sports Car,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi,"2019 Porsche Cayman With Rear Camera, Adaptive Cruise Control, Navigation System, Leather Seats", Minor Scratches
Hyundai,Elantra,2010,25051,118775,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2010 Hyundai Elantra With Sunroof, Bluetooth, Rear Camera, Navigation System", No Damage
Mercedes-Benz,S-Class-Coupe,2006,339746,154658,Coupe,Unknown,Automatic Transmission,Gasoline,White,Abu Dhabi,"2006 Mercedes-Benz S-Class-Coupe With Rear Camera, Adaptive Cruise Control, Sunroof", Repainted Bumper
Cadillac,Ct4,2013,205479,116269,Sports Car,4,Automatic Transmission,Gasoline,Black, Dubai,"2013 Cadillac Ct4 With Navigation System, Bluetooth, Adaptive Cruise Control, Sunroof", Repainted Bumper
Bmw,7-Series,2015,249343,218356,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2015 Bmw 7-Series With Leather Seats, Bluetooth, Adaptive Cruise Control", No Damage
Hyundai,H1,2011,53499,55890,Van,4,Manual Transmission,Gasoline,White, Dubai,"2011 Hyundai H1 With Bluetooth, Leather Seats, Sunroof", Engine Repaired
Bentley,Continental,2024,315623,95770,Coupe,12,Automatic Transmission,Gasoline,Grey, Dubai,"2024 Bentley Continental With Bluetooth, Navigation System, Sunroof", Repainted Bumper
Chrysler,Other,2021,37446,11917,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 Chrysler Other With Bluetooth, Leather Seats", Engine Repaired
Ferrari,599Gtb,2016,394950,193676,Coupe,12,Automatic Transmission,Gasoline,Black, Dubai,"2016 Ferrari 599Gtb With Sunroof, Adaptive Cruise Control", Repainted Bumper
Rolls-Royce,Cullinan,2012,1966210,171366,SUV,12,Automatic Transmission,Gasoline,Grey, Dubai,"2012 Rolls-Royce Cullinan With Leather Seats, Navigation System, Adaptive Cruise Control", Engine Repaired
Ferrari,F8-Tributo,2023,1655646,227897,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai,"2023 Ferrari F8-Tributo With Sunroof, Leather Seats, Bluetooth", Minor Scratches
Ford,Expedition,2024,21459,273360,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2024 Ford Expedition With Sunroof, Bluetooth, Rear Camera, Adaptive Cruise Control", Engine Repaired
Porsche,Carrera,2013,116607,119113,Coupe,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 Porsche Carrera With Navigation System, Leather Seats, Sunroof", Minor Scratches
Mercedes-Benz,Cla,2016,64186,128289,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2016 Mercedes-Benz Cla With Navigation System, Rear Camera, Bluetooth, Leather Seats", Minor Scratches
Chevrolet,Tahoe,2024,135697,260014,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2024 Chevrolet Tahoe With Adaptive Cruise Control, Rear Camera, Leather Seats", Repainted Bumper
Bmw,X5,2021,622578,53856,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2021 Bmw X5 With Adaptive Cruise Control, Navigation System, Sunroof", Dented Door
Nissan,Patrol,2009,282125,231949,SUV,6,Automatic Transmission,Gasoline,White, Abu Dhabi,"2009 Nissan Patrol With Sunroof, Bluetooth, Leather Seats, Rear Camera", Minor Scratches
Land-Rover,Range-Rover,2019,666123,65969,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2019 Land-Rover Range-Rover With Navigation System, Leather Seats", Engine Repaired
Mercedes-Benz,E-Class,2010,19716,75985,Sedan,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2010 Mercedes-Benz E-Class With Rear Camera, Navigation System, Bluetooth", Minor Scratches
Mercedes-Benz,E-Class,2013,193833,289316,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2013 Mercedes-Benz E-Class With Leather Seats, Rear Camera", Engine Repaired
Chevrolet,Captiva,2021,40688,294566,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai,"2021 Chevrolet Captiva With Bluetooth, Adaptive Cruise Control", No Damage
Audi,A5,2021,107702,211326,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2021 Audi A5 With Rear Camera, Bluetooth, Leather Seats", Dented Door
Rolls-Royce,Cullinan,2022,2226036,19775,SUV,12,Automatic Transmission,Gasoline,Black, Dubai,"2022 Rolls-Royce Cullinan With Adaptive Cruise Control, Bluetooth, Rear Camera, Navigation System", Minor Scratches
Jeep,Wrangler,2013,167167,73954,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 Jeep Wrangler With Sunroof, Rear Camera", Minor Scratches
Mercedes-Benz,M-Class,2018,46902,111837,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2018 Mercedes-Benz M-Class With Sunroof, Navigation System", Engine Repaired
Nissan,Patrol,2021,39077,57894,SUV,6,Automatic Transmission,Gasoline,White,Abu Dhabi,"2021 Nissan Patrol With Bluetooth, Sunroof, Leather Seats", No Damage
Bmw,X5,2011,169226,152187,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2011 Bmw X5 With Navigation System, Sunroof, Leather Seats", No Damage
Audi,Q3,2016,38697,36961,SUV,4,Manual Transmission,Gasoline,Gold, Dubai,"2016 Audi Q3 With Sunroof, Navigation System, Bluetooth, Leather Seats", Dented Door
Gmc,Terrain,2019,26169,51784,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2019 Gmc Terrain With Adaptive Cruise Control, Navigation System, Leather Seats, Bluetooth", Repainted Bumper
Land-Rover,Range-Rover-Sport,2017,39037,216356,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2017 Land-Rover Range-Rover-Sport With Rear Camera, Bluetooth, Navigation System, Sunroof", Engine Repaired
Lexus,Gx-Series,2007,122689,179894,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2007 Lexus Gx-Series With Bluetooth, Navigation System, Adaptive Cruise Control, Rear Camera", Minor Scratches
Bmw,Z4,2005,75054,163394,Coupe,6,Manual Transmission,Gasoline,White, Dubai,"2005 Bmw Z4 With Bluetooth, Navigation System, Leather Seats, Adaptive Cruise Control", Engine Repaired
Volkswagen,Gti,2006,41470,10827,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai,"2006 Volkswagen Gti With Adaptive Cruise Control, Leather Seats, Bluetooth", Dented Door
Chevrolet,Tahoe,2017,264941,60091,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2017 Chevrolet Tahoe With Navigation System, Sunroof, Leather Seats", Repainted Bumper
Volkswagen,Touareg,2010,30305,29403,SUV,6,Automatic Transmission,Gasoline,Blue, Sharjah,"2010 Volkswagen Touareg With Leather Seats, Navigation System, Adaptive Cruise Control", Repainted Bumper
Nissan,Patrol,2013,327759,294889,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2013 Nissan Patrol With Navigation System, Bluetooth", Engine Repaired
Nissan,Micra,2024,18973,137511,Hatchback,4,Automatic Transmission,Gasoline,Red, Dubai,"2024 Nissan Micra With Navigation System, Sunroof", Engine Repaired
Jeep,Wrangler-Unlimited,2021,265392,184261,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 Jeep Wrangler-Unlimited With Bluetooth, Adaptive Cruise Control, Rear Camera", Accident History
Toyota,Corolla,2005,55305,41624,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2005 Toyota Corolla With Adaptive Cruise Control, Rear Camera", No Damage
Audi,Tt,2011,117641,60865,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2011 Audi Tt With Sunroof, Bluetooth", Accident History
Honda,Hr-V,2005,71457,179060,SUV,4,Automatic Transmission,Gasoline,Blue, Ajman,"2005 Honda Hr-V With Adaptive Cruise Control, Sunroof", Minor Scratches
Toyota,Land-Cruiser,2015,89313,10133,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2015 Toyota Land-Cruiser With Navigation System, Adaptive Cruise Control, Leather Seats, Rear Camera", Engine Repaired
Bmw,8-Series,2020,383087,206738,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 Bmw 8-Series With Adaptive Cruise Control, Sunroof, Navigation System, Leather Seats", Engine Repaired
Land-Rover,Range-Rover,2015,485412,110081,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2015 Land-Rover Range-Rover With Adaptive Cruise Control, Bluetooth", No Damage
Bmw,X5,2010,206161,262745,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai,"2010 Bmw X5 With Navigation System, Sunroof, Leather Seats", No Damage
Mercedes-Benz,S-Class,2016,33950,16237,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai,"2016 Mercedes-Benz S-Class With Bluetooth, Adaptive Cruise Control, Navigation System, Leather Seats", Engine Repaired
Bmw,4-Series,2016,95874,92319,Coupe,4,Automatic Transmission,Gasoline,Red, Dubai,"2016 Bmw 4-Series With Rear Camera, Bluetooth, Sunroof", Accident History
Bmw,X5,2016,282075,119688,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2016 Bmw X5 With Leather Seats, Rear Camera, Navigation System, Sunroof", No Damage
Toyota,Land-Cruiser,2014,131717,121448,Pick Up Truck,6,Manual Transmission,Gasoline,Silver, Dubai,"2014 Toyota Land-Cruiser With Bluetooth, Rear Camera, Adaptive Cruise Control", Repainted Bumper
Porsche,Boxster,2010,343726,31881,Coupe,4,Automatic Transmission,Gasoline,Grey, Dubai,"2010 Porsche Boxster With Leather Seats, Adaptive Cruise Control, Navigation System, Rear Camera", Minor Scratches
Chevrolet,Corvette,2015,50257,54133,Coupe,8,Automatic Transmission,Gasoline,Black, Dubai,"2015 Chevrolet Corvette With Leather Seats, Adaptive Cruise Control, Rear Camera, Navigation System", Repainted Bumper
Dodge,Ram,2010,50917,13281,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai,"2010 Dodge Ram With Bluetooth, Rear Camera", Accident History
Mitsubishi,Attrage,2007,28161,232488,Sedan,3,Automatic Transmission,Gasoline,Silver, Dubai,"2007 Mitsubishi Attrage With Adaptive Cruise Control, Sunroof, Leather Seats, Rear Camera", Accident History
Renault,Captur,2022,39674,197334,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai,"2022 Renault Captur With Bluetooth, Sunroof", No Damage
Toyota,Land-Cruiser,2021,356197,116372,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2021 Toyota Land-Cruiser With Adaptive Cruise Control, Bluetooth, Rear Camera, Sunroof", Engine Repaired
Ford,F-Series-Pickup,2010,115628,167863,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2010 Ford F-Series-Pickup With Leather Seats, Navigation System", Repainted Bumper
Nissan,Patrol,2010,79529,124961,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 Nissan Patrol With Sunroof, Rear Camera, Adaptive Cruise Control", Dented Door
Rolls-Royce,Cullinan,2020,2055839,231200,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2020 Rolls-Royce Cullinan With Leather Seats, Rear Camera, Sunroof", Accident History
Gmc,Sierra,2019,118461,279465,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai,"2019 Gmc Sierra With Navigation System, Adaptive Cruise Control, Sunroof", Dented Door
Honda,Cr-V,2010,53784,109701,Crossover,4,Automatic Transmission,Gasoline,Grey, Dubai,"2010 Honda Cr-V With Rear Camera, Adaptive Cruise Control, Leather Seats", Accident History
Toyota,Hilux,2007,85132,168030,Pick Up Truck,4,Manual Transmission,Diesel,White, Dubai,"2007 Toyota Hilux With Navigation System, Adaptive Cruise Control", Accident History
Dodge,Challenger,2019,45436,259180,Coupe,6,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2019 Dodge Challenger With Navigation System, Leather Seats", Repainted Bumper
Ford,Explorer,2024,37490,36269,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2024 Ford Explorer With Sunroof, Rear Camera, Navigation System, Leather Seats", Minor Scratches
Mini,Countryman,2009,47569,137160,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai,"2009 Mini Countryman With Rear Camera, Adaptive Cruise Control, Navigation System", Repainted Bumper
Rolls-Royce,Dawn,2008,1926543,263970,Soft Top Convertible,12,Automatic Transmission,Gasoline,Blue, Dubai,"2008 Rolls-Royce Dawn With Adaptive Cruise Control, Navigation System, Sunroof, Rear Camera", Repainted Bumper
Mercedes-Benz,C-Class,2014,49754,191358,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2014 Mercedes-Benz C-Class With Sunroof, Leather Seats", Repainted Bumper
Rolls-Royce,Cullinan,2015,1807197,118080,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2015 Rolls-Royce Cullinan With Navigation System, Leather Seats, Sunroof", Minor Scratches
Mercedes-Benz,C-Class,2020,64452,23157,Sports Car,8,Automatic Transmission,Gasoline,Gold, Dubai,"2020 Mercedes-Benz C-Class With Sunroof, Leather Seats, Navigation System", Engine Repaired
Bmw,3-Series,2013,37188,57634,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2013 Bmw 3-Series With Bluetooth, Adaptive Cruise Control, Rear Camera", Dented Door
Hyundai,Palisade,2019,144662,207002,SUV,6,Automatic Transmission,Gasoline,Burgundy, Ajman,"2019 Hyundai Palisade With Sunroof, Rear Camera, Adaptive Cruise Control, Navigation System", Dented Door
Nissan,Patrol,2013,187823,269059,SUV,6,Manual Transmission,Gasoline,Gold, Dubai,"2013 Nissan Patrol With Adaptive Cruise Control, Leather Seats, Bluetooth", Accident History
Mercedes-Benz,G-Class,2012,196384,181938,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2012 Mercedes-Benz G-Class With Rear Camera, Adaptive Cruise Control, Bluetooth, Sunroof", Dented Door
Mitsubishi,Pajero,2021,32020,43425,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 Mitsubishi Pajero With Leather Seats, Rear Camera", Repainted Bumper
Infiniti,Fx50,2008,22055,75383,SUV,8,Automatic Transmission,Gasoline,White, Ajman,"2008 Infiniti Fx50 With Sunroof, Bluetooth, Leather Seats", Dented Door
Honda,Accord,2023,54454,127662,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2023 Honda Accord With Bluetooth, Rear Camera", Dented Door
Toyota,Land-Cruiser,2016,69063,216482,SUV,6,Automatic Transmission,Gasoline,Red, Dubai,"2016 Toyota Land-Cruiser With Adaptive Cruise Control, Navigation System, Rear Camera, Bluetooth", Accident History
Ferrari,488,2020,1655206,35571,Coupe,8,Automatic Transmission,Gasoline,Purple, Dubai,"2020 Ferrari 488 With Rear Camera, Bluetooth, Sunroof", Engine Repaired
Ford,Taurus,2009,19754,161293,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai,"2009 Ford Taurus With Adaptive Cruise Control, Navigation System, Sunroof, Rear Camera", Accident History
Jeep,Wrangler,2020,67320,296963,SUV,6,Automatic Transmission,Gasoline,Black, Abu Dhabi,"2020 Jeep Wrangler With Adaptive Cruise Control, Bluetooth", Repainted Bumper
Mercedes-Benz,C-Class,2023,35655,150426,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2023 Mercedes-Benz C-Class With Bluetooth, Rear Camera", Repainted Bumper
Ford,Edge,2010,103224,196919,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2010 Ford Edge With Leather Seats, Rear Camera, Sunroof, Navigation System", Accident History
Toyota,Other,2023,204340,272164,Other,4,Manual Transmission,Diesel,White, Dubai,"2023 Toyota Other With Leather Seats, Adaptive Cruise Control, Rear Camera", Dented Door
Dodge,Challenger,2024,70563,288632,Coupe,6,Automatic Transmission,Gasoline,Black, Sharjah,"2024 Dodge Challenger With Adaptive Cruise Control, Sunroof, Rear Camera, Navigation System", Minor Scratches
Nissan,Maxima,2009,45212,287208,Sedan,6,Automatic Transmission,Gasoline,Silver, Sharjah,"2009 Nissan Maxima With Leather Seats, Adaptive Cruise Control, Navigation System, Rear Camera", Engine Repaired
Bmw,X5,2022,534057,77089,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2022 Bmw X5 With Rear Camera, Bluetooth", Accident History
Opel,Insignia,2016,50207,101057,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2016 Opel Insignia With Leather Seats, Navigation System", Accident History
Lexus,Lx600,2023,1066559,81004,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2023 Lexus Lx600 With Rear Camera, Adaptive Cruise Control, Navigation System", No Damage
Ferrari,F430,2005,398255,48053,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2005 Ferrari F430 With Rear Camera, Sunroof, Leather Seats", Repainted Bumper
Chrysler,Pt-Cruiser,2009,11767,120504,Sports Car,4,Automatic Transmission,Gasoline,Blue, Dubai,"2009 Chrysler Pt-Cruiser With Adaptive Cruise Control, Rear Camera", Minor Scratches
Mercedes-Benz,S-Class,2022,272519,57339,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai,"2022 Mercedes-Benz S-Class With Bluetooth, Leather Seats, Sunroof", Repainted Bumper
Audi,A3,2017,45737,134693,Hatchback,3,Automatic Transmission,Gasoline,Black, Dubai,"2017 Audi A3 With Leather Seats, Rear Camera", Minor Scratches
Rolls-Royce,Phantom,2009,2143650,124254,Sedan,12,Automatic Transmission,Gasoline,Red, Dubai,"2009 Rolls-Royce Phantom With Rear Camera, Navigation System", No Damage
Nissan,Armada,2022,115914,136385,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2022 Nissan Armada With Sunroof, Leather Seats", Minor Scratches
Cadillac,Srx,2011,46557,251461,SUV,6,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2011 Cadillac Srx With Sunroof, Navigation System", Dented Door
Maserati,Levante,2015,265675,48408,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2015 Maserati Levante With Rear Camera, Navigation System", Minor Scratches
Tesla,Model-3,2015,233011,144042,Sedan,Unknown,Automatic Transmission,Electric,White, Abu Dhabi,"2015 Tesla Model-3 With Rear Camera, Navigation System, Adaptive Cruise Control", Engine Repaired
Nissan,Patrol,2005,148572,34331,SUV,6,Manual Transmission,Gasoline,Gold, Abu Dhabi,"2005 Nissan Patrol With Rear Camera, Leather Seats, Adaptive Cruise Control, Bluetooth", No Damage
Infiniti,Q70,2012,62242,106342,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai,"2012 Infiniti Q70 With Navigation System, Sunroof, Adaptive Cruise Control", Accident History
Land-Rover,Range-Rover-Sport,2010,69996,180085,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 Land-Rover Range-Rover-Sport With Bluetooth, Navigation System", No Damage
Jeep,Wrangler,2019,152244,274257,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2019 Jeep Wrangler With Sunroof, Navigation System", Dented Door
Dodge,Durango,2022,25139,276134,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2022 Dodge Durango With Bluetooth, Sunroof, Navigation System, Adaptive Cruise Control", No Damage
Nissan,Navara,2015,44658,221559,Pick Up Truck,4,Manual Transmission,Gasoline,White, Abu Dhabi,"2015 Nissan Navara With Rear Camera, Navigation System, Leather Seats, Adaptive Cruise Control", Accident History
Lotus,Evora,2016,155651,183616,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2016 Lotus Evora With Leather Seats, Navigation System, Adaptive Cruise Control", Minor Scratches
Mercedes-Benz,Gl-Class,2005,37510,94745,SUV,8,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2005 Mercedes-Benz Gl-Class With Rear Camera, Navigation System, Bluetooth", Minor Scratches
Mercedes-Benz,C-Class,2017,270601,209553,Sports Car,8,Automatic Transmission,Gasoline,Black, Dubai,"2017 Mercedes-Benz C-Class With Leather Seats, Rear Camera", No Damage
Hyundai,H1,2008,26027,179203,Van,4,Manual Transmission,Gasoline,White, Dubai,"2008 Hyundai H1 With Adaptive Cruise Control, Bluetooth", Dented Door
Toyota,Land-Cruiser,2014,322166,177211,SUV,6,Automatic Transmission,Diesel,Black, Dubai,"2014 Toyota Land-Cruiser With Navigation System, Rear Camera, Adaptive Cruise Control, Bluetooth", Minor Scratches
Porsche,Carrera,2022,677171,27939,Coupe,6,Manual Transmission,Gasoline,White, Dubai,"2022 Porsche Carrera With Sunroof, Rear Camera", Dented Door
Porsche,Boxster,2015,102598,78444,Soft Top Convertible,6,Automatic Transmission,Gasoline,Blue, Dubai,"2015 Porsche Boxster With Sunroof, Leather Seats, Bluetooth, Navigation System", No Damage
Nissan,X-Trail,2020,51073,27423,SUV,4,Automatic Transmission,Gasoline,White, Abu Dhabi,"2020 Nissan X-Trail With Rear Camera, Bluetooth", Dented Door
Ferrari,458-Spider,2012,639059,141806,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2012 Ferrari 458-Spider With Adaptive Cruise Control, Navigation System, Sunroof, Rear Camera", Accident History
Nissan,Juke,2013,37339,290038,SUV,4,Automatic Transmission,Gasoline,White, Sharjah,"2013 Nissan Juke With Adaptive Cruise Control, Navigation System", Engine Repaired
Land-Rover,Range-Rover-Velar,2006,296680,13826,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2006 Land-Rover Range-Rover-Velar With Rear Camera, Adaptive Cruise Control, Navigation System, Leather Seats", Accident History
Bmw,4-Series,2021,153738,179480,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai,"2021 Bmw 4-Series With Sunroof, Leather Seats, Rear Camera", Dented Door
Nissan,Altima,2007,12783,214360,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2007 Nissan Altima With Adaptive Cruise Control, Sunroof, Rear Camera, Leather Seats", Repainted Bumper
Ford,F-Series-Pickup,2020,70847,132395,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Dubai,"2020 Ford F-Series-Pickup With Rear Camera, Sunroof, Navigation System, Leather Seats", No Damage
Mazda,3,2005,41032,177856,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2005 Mazda 3 With Bluetooth, Leather Seats", Repainted Bumper
Volkswagen,Id4,2023,117614,105962,SUV,,Automatic Transmission,Electric,Gold, Dubai,"2023 Volkswagen Id4 With Sunroof, Navigation System, Bluetooth, Rear Camera", Repainted Bumper
Mitsubishi,Pajero,2009,54510,105325,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2009 Mitsubishi Pajero With Leather Seats, Rear Camera", Repainted Bumper
Jeep,Wrangler-Unlimited,2018,154551,96125,SUV,6,Automatic Transmission,Gasoline,Orange, Dubai,"2018 Jeep Wrangler-Unlimited With Sunroof, Rear Camera", Repainted Bumper
Alfa-Romeo,Giulia,2018,243157,211925,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2018 Alfa-Romeo Giulia With Navigation System, Adaptive Cruise Control, Rear Camera", No Damage
